שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
ערך השולחן חושן משפט חלק ב,1891,רבי יצחק טייב,תוניס,מפרשי השולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__text_files.zip,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__nikud_meteg_files.zip,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__ocr_data_html_files.zip,erekhhashulchanchoshenmishpat2,Erekh Hashulchan Choshen Mishpat part 2,shulchan aruch commentaries,rabbi yitzchak tayeb,Tunisia,,erekhhashulchanchoshenmishpat2
"אבן העוזר על הש""ס",1878,ר' בנימין עוזר הכהן,ווארשא,"פרשני הש""ס",ספריית דיקטה,https://files.dicta.org.il/evenhaozershas/evenhaozershas__text_files.zip,https://files.dicta.org.il/evenhaozershas/evenhaozershas__nikud_meteg_files.zip,https://files.dicta.org.il/evenhaozershas/evenhaozershas__ocr_data_html_files.zip,evenhaozershas,Even HaOzer (shas),Shas Commentators,Rabbi Binyamin Ozer HaCohen,Warsaw,,evenhaozershas
אבן הראשה,1887,"קלאצקין, אליהו בן נפתלי הירץ",ורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/evenhareisho/evenhareisho__text_files.zip,https://files.dicta.org.il/evenhareisho/evenhareisho__nikud_meteg_files.zip,https://files.dicta.org.il/evenhareisho/evenhareisho__ocr_data_html_files.zip,evenhareisho,Even Hareisho,Responsa,Eliyahu Ben Naftali Hertz Klatzkin,Warsaw,,evenhareisho
אבן שהם,1899,משה בן יהודה ממינסק,פודגורזה,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/evenshoham/evenshoham__text_files.zip,https://files.dicta.org.il/evenshoham/evenshoham__nikud_meteg_files.zip,https://files.dicta.org.il/evenshoham/evenshoham__ocr_data_html_files.zip,evenshoham,Even Shoham,Derashot,Moseh Perlamutter,Podgorze,,evenshoham
גרש ירחים,1869,הרב אריה לייב צינץ,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gereshyerachim/gereshyerachim__text_files.zip,https://files.dicta.org.il/gereshyerachim/gereshyerachim__nikud_meteg_files.zip,https://files.dicta.org.il/gereshyerachim/gereshyerachim__ocr_data_html_files.zip,gereshyerachim_EGT,Geresh Yerachim,Acharonim on Talmud Bavli,Aryeh Leib ben Moses Zuenz,Warsaw,,gereshyerachim
גבורת ארי מכות ביצה נזיר,1907,רבי אריה ליב גינזבורג,פיעטרקוב,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__text_files.zip,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__ocr_data_html_files.zip,gevuratarimakkotbeitzahnazir_EGT,Gevurat Arן Makkot Beitzah Nazir,Shas Commentators,Aryeh Leib ben Asher Ginzburg,Piotrkow,,gevuratarimakkotbeitzahnazir
גבורת ארי תענית,1862,רבי אריה ליב גינזבורג,ווילנא,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__text_files.zip,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__nikud_meteg_files.zip,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__ocr_data_html_files.zip,gevurataritaanit_EGT,Gevurat Ari Taanit,Shas Commentators,Aryeh Leib ben Asher Ginzburg,Vilna,,gevurataritaanit
גבורת ארי יומא,1907,רבי אריה ליב גינזבורג,פיעטרקוב,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__text_files.zip,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__ocr_data_html_files.zip,gevuratariyoma_EGT,Gevurat Ari Yoma,Shas Commentators,Aryeh Leib ben Asher Ginzburg,Piotrkow,,gevuratariyoma
גבורת יהונתן,1900,"אייבשיץ, יהונתן בן נתן נטע",ווארשא,דרשות,ספריית דיקטה,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__text_files.zip,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__ocr_data_html_files.zip,gevuratyonatan,Gevurat Yonatan,Derashot,Jonathan Eybeschutz,Warsaw,,gevuratyonatan
גבורות שלמה,1902,"קלוגר, שלמה בן יהודה אהרן",לבוב,נושאים שונים,ספריית דיקטה,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__text_files.zip,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__nikud_meteg_files.zip,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__ocr_data_html_files.zip,gevurosshlomo,Gevurot Shlomo,Others,Solomon ben Judah Aaron Kluger,Lvov,,gevurosshlomo
גבורות שמונים,1930,"ענגיל, יוסף בן יהודה",ורשה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__text_files.zip,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__nikud_meteg_files.zip,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__ocr_data_html_files.zip,gevurotshmonim,Gevurot Shmonim,Acharonim on Talmud Bavli,Yosef Engel,Warsaw,,gevurotshmonim
גושפנקא דמלכא דרשות,1861,ר' פארוז קרסינטי,ליוורנו,דרשות,ספריית דיקטה,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__text_files.zip,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__ocr_data_html_files.zip,gushpankademalkaderashot,Gushpanka De-Malka (Derashot),Derashot,Pariz Keresinti,Levorno,,gushpankademalkaderashot
גושפנקא דמלכא (ליקוטים),1861,ר' פארוז קרסינטי,ליוורנו,ליקוטים,ספריית דיקטה,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__text_files.zip,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__ocr_data_html_files.zip,gushpankademalkalikutim,Gushpanka De-Malka (likutim),likutim,Pariz Keresinti,Levorno,,gushpankademalkalikutim
"גושפנקא דמלכא (רמב""ם)",1861,ר' פארוז קרסינטי,ליוורנו,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__text_files.zip,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__ocr_data_html_files.zip,gushpankademalkarambam_EGT,Gushpanka De-Malka (Rambam),Commentaries on the Rambam,Pariz Keresinti,Levorno,,gushpankademalkarambam
"גושפנקא דמלכא (ש""ס)",1861,ר' פארוז קרסינטי,ליוורנו,"מפרש הש""ס )אחרונים",ספריית דיקטה,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__text_files.zip,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__ocr_data_html_files.zip,gushpankademalkashas,Gushpanka De-Malka (shas),Acharonim on Talmud Bavli,Pariz Keresinti,Levorno,,gushpankademalkashas
"האדמו""ר הזקן",1875,רבי שניאור זלמן מליאדי,ווארשא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/haadmorhazaken/haadmorhazaken__text_files.zip,https://files.dicta.org.il/haadmorhazaken/haadmorhazaken__nikud_meteg_files.zip,https://files.dicta.org.il/haadmorhazaken/haadmorhazaken__ocr_data_html_files.zip,haadmorhazaken,Haadmor Hazaken,Responsa,rabbi shneur zalman of liadi,Warsaw,,haadmorhazaken
האגור,1884,רבי יעקב לנדא,פיעטרקוב,ספרי הלכה ומנהג,,https://files.dicta.org.il/haagur/haagur__text_files.zip,https://files.dicta.org.il/haagur/haagur__nikud_meteg_files.zip,https://files.dicta.org.il/haagur/haagur__ocr_data_html_files.zip,haagur_EGT,Ha'Agur,Halakha,Jacob Landa,Piotrkow,,haagur
האמונה והבטחון,1842,"מיוחס לרמב""ן",וורשה,ספרי מחשבה ומוסר (ראשונים),ספריית דיקטה,https://files.dicta.org.il/haemunavehabitachon/haemunavehabitachon__text_files.zip,https://files.dicta.org.il/haemunavehabitachon/haemunavehabitachon__nikud_meteg_files.zip,https://files.dicta.org.il/haemunavehabitachon/haemunavehabitachon__ocr_data_html_files.zip,haemunavehabitachon_EGT,Haemuna Vehabitachon,Mussar and Jewish Thought,Attributed to Ramban,Warsaw,,haemunavehabitachon
הפלאה - קונטרס אחרון (כתובות),1861,הרב פנחס הלוי איש הורוויץ,ווארשא,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/haflaahkuntresacharon/haflaahkuntresacharon__text_files.zip,https://files.dicta.org.il/haflaahkuntresacharon/haflaahkuntresacharon__nikud_meteg_files.zip,https://files.dicta.org.il/haflaahkuntresacharon/haflaahkuntresacharon__ocr_data_html_files.zip,haflaahkuntresacharon,Hafla’ah – Kuntres Acharon,Commentaries on Shulchan Aruch,Rabbi Pinchas HaLevi Horowitz,Warsaw,,haflaahkuntresacharon
הפלאה שבערכין,1905,"רבינוביץ, חיים בן יצחק אייזיק",וילנה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/haflaahshebaarakhin/haflaahshebaarakhin__text_files.zip,https://files.dicta.org.il/haflaahshebaarakhin/haflaahshebaarakhin__nikud_meteg_files.zip,https://files.dicta.org.il/haflaahshebaarakhin/haflaahshebaarakhin__ocr_data_html_files.zip,haflaahshebaarakhin,Hafla'ah ShebaArakhin,Acharonim on Talmud Bavli,Yitzhak Isaac Halevy (Rabinowitz),Vilna,,haflaahshebaarakhin
"הגהות שו""ת רבינו משולם איגרא",1885,,וורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/hagahotshutrabeinumeshulamigra/hagahotshutrabeinumeshulamigra__text_files.zip,https://files.dicta.org.il/hagahotshutrabeinumeshulamigra/hagahotshutrabeinumeshulamigra__nikud_meteg_files.zip,https://files.dicta.org.il/hagahotshutrabeinumeshulamigra/hagahotshutrabeinumeshulamigra__ocr_data_html_files.zip,hagahotshutrabeinumeshulamigra,Hagahot Shut Rabeinu Meshulam Igra,Responsa,,Warsaw,,hagahotshutrabeinumeshulamigra
הלכות קטנות 1,1897,רבי יעקב ישראל חגיז,קארקא,"שו""ת",,https://files.dicta.org.il/halachotketanot1/halachotketanot1__text_files.zip,https://files.dicta.org.il/halachotketanot1/halachotketanot1__nikud_meteg_files.zip,https://files.dicta.org.il/halachotketanot1/halachotketanot1__ocr_data_html_files.zip,halachotketanot1_EGT,Halachot Ketanot 1,Responsa,Jacob Hagiz,Krakow,,halachotketanot1
הלכות קטנות 2,1897,רבי יעקב ישראל חגיז,קארקא,"שו""ת",,https://files.dicta.org.il/halachotketanot2/halachotketanot2__text_files.zip,https://files.dicta.org.il/halachotketanot2/halachotketanot2__nikud_meteg_files.zip,https://files.dicta.org.il/halachotketanot2/halachotketanot2__ocr_data_html_files.zip,halachotketanot2_EGT,Halachot Ketanot 2,Responsa,Jacob Hagiz,Krakow,,halachotketanot2
"הליכות אליהו (רמב""ם)",1932,ר' אליהו פיינשטיין,ווילנה,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/halichoteliyahurambam/halichoteliyahurambam__text_files.zip,https://files.dicta.org.il/halichoteliyahurambam/halichoteliyahurambam__nikud_meteg_files.zip,https://files.dicta.org.il/halichoteliyahurambam/halichoteliyahurambam__ocr_data_html_files.zip,halichoteliyahurambam_EGT,Halichot Eliyahu (Rambam),Commentaries on the Rambam,Eliyahu Feinstein,Vilna,,halichoteliyahurambam
המקנה,1860,הרב פנחס הלוי איש הורוויץ,לעמבערג,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/hamakneh/hamakneh__text_files.zip,https://files.dicta.org.il/hamakneh/hamakneh__nikud_meteg_files.zip,https://files.dicta.org.il/hamakneh/hamakneh__ocr_data_html_files.zip,hamakneh,Ha-Makneh,Acharonim on Talmud Bavli,Rabbi Pinchas HaLevi Horowitz,Lamberg,,hamakneh
המקנה - קונטרס אחרון,1860,הרב פנחס הלוי איש הורוויץ,לעמבערג,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/hamaknehkuntresacharon/hamaknehkuntresacharon__text_files.zip,https://files.dicta.org.il/hamaknehkuntresacharon/hamaknehkuntresacharon__nikud_meteg_files.zip,https://files.dicta.org.il/hamaknehkuntresacharon/hamaknehkuntresacharon__ocr_data_html_files.zip,hamaknehkuntresacharon,Ha-Makneh – Kuntres Acharon,Commentaries on Shulchan Aruch,Rabbi Pinchas HaLevi Horowitz,Lamberg,,hamaknehkuntresacharon
המדרש והמעשה במדבר,1923,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,"מפרשי תנ""ך",ספריית דיקטה,https://files.dicta.org.il/hamedrashvhamaasehbamidbar/hamedrashvhamaasehbamidbar__text_files.zip,https://files.dicta.org.il/hamedrashvhamaasehbamidbar/hamedrashvhamaasehbamidbar__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehbamidbar/hamedrashvhamaasehbamidbar__ocr_data_html_files.zip,hamedrashvhamaasehbamidbar,haMedrash V'Hamaaseh Bamidbar,Bible Commentaries,Yechezkel Livshitz,Piotrkow,,hamedrashvhamaasehbamidbar
המדרש והמעשה בראשית,1906,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,"מפרשי תנ""ך",ספריית דיקטה,https://files.dicta.org.il/hamedrashvhamaasehbershit/hamedrashvhamaasehbershit__text_files.zip,https://files.dicta.org.il/hamedrashvhamaasehbershit/hamedrashvhamaasehbershit__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehbershit/hamedrashvhamaasehbershit__ocr_data_html_files.zip,hamedrashvhamaasehbershit,haMedrash V'Hamaaseh Bershit,Bible Commentaries,Yechezkel Livshitz,Piotrkow,,hamedrashvhamaasehbershit
המדרש והמעשה דברים,1929,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,"מפרשי תנ""ך",ספריית דיקטה,https://files.dicta.org.il/hamedrashvhamaasehdvarim/hamedrashvhamaasehdvarim__text_files.zip,https://files.dicta.org.il/hamedrashvhamaasehdvarim/hamedrashvhamaasehdvarim__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehdvarim/hamedrashvhamaasehdvarim__ocr_data_html_files.zip,hamedrashvhamaasehdvarim,haMedrash V'Hamaaseh Dvarim,Bible Commentaries,Yechezkel Livshitz,Piotrkow,,hamedrashvhamaasehdvarim
המדרש והמעשה שמות,1906,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,"מפרשי תנ""ך",ספריית דיקטה,https://files.dicta.org.il/hamedrashvhamaasehshemot/hamedrashvhamaasehshemot__text_files.zip,https://files.dicta.org.il/hamedrashvhamaasehshemot/hamedrashvhamaasehshemot__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehshemot/hamedrashvhamaasehshemot__ocr_data_html_files.zip,hamedrashvhamaasehshemot,haMedrash V'Hamaaseh Shemot,Bible Commentaries,Yechezkel Livshitz,Piotrkow,,hamedrashvhamaasehshemot
המדרש והמעשה ויקרא,1910,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,"מפרשי תנ""ך",ספריית דיקטה,https://files.dicta.org.il/hamedrashvhamaasehvaykra/hamedrashvhamaasehvaykra__text_files.zip,https://files.dicta.org.il/hamedrashvhamaasehvaykra/hamedrashvhamaasehvaykra__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehvaykra/hamedrashvhamaasehvaykra__ocr_data_html_files.zip,hamedrashvhamaasehvaykra,haMedrash V'Hamaaseh Vaykra,Bible Commentaries,Yechezkel Livshitz,Piotrkow,,hamedrashvhamaasehvaykra
חנה אריאל במדבר,1912,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/hanaharielbamidbar/hanaharielbamidbar__text_files.zip,https://files.dicta.org.il/hanaharielbamidbar/hanaharielbamidbar__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielbamidbar/hanaharielbamidbar__ocr_data_html_files.zip,hanaharielbamidbar,Hanah Ariel Bamidbar,Derashot,Yitzhak Isaac Epstein,Berdichev,,hanaharielbamidbar
חנה אריאל בראשית,1912,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/hanaharielbershit/hanaharielbershit__text_files.zip,https://files.dicta.org.il/hanaharielbershit/hanaharielbershit__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielbershit/hanaharielbershit__ocr_data_html_files.zip,hanaharielbershit,Hanah Ariel Bershit,Derashot,Yitzhak Isaac Epstein,Berdichev,,hanaharielbershit
חנה אריאל דברים,1912,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/hanaharieldvarim/hanaharieldvarim__text_files.zip,https://files.dicta.org.il/hanaharieldvarim/hanaharieldvarim__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharieldvarim/hanaharieldvarim__ocr_data_html_files.zip,hanaharieldvarim,Hanah Ariel Dvarim,Derashot,Yitzhak Isaac Epstein,Berdichev,,hanaharieldvarim
חנה אריאל שמות,1912,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/hanaharielshemot/hanaharielshemot__text_files.zip,https://files.dicta.org.il/hanaharielshemot/hanaharielshemot__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielshemot/hanaharielshemot__ocr_data_html_files.zip,hanaharielshemot,Hanah Ariel Shemot,Derashot,Yitzhak Isaac Epstein,Berdichev,,hanaharielshemot
חנה אריאל ויקרא,1912,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/hanaharielvayikra/hanaharielvayikra__text_files.zip,https://files.dicta.org.il/hanaharielvayikra/hanaharielvayikra__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielvayikra/hanaharielvayikra__ocr_data_html_files.zip,hanaharielvayikra,Hanah Ariel Vayikra,Derashot,Yitzhak Isaac Epstein,Berdichev,,hanaharielvayikra
הרי בשמים,1883,רבי אריה ליבש הלוי הורוויץ,לבוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/hareibesamim/hareibesamim__text_files.zip,https://files.dicta.org.il/hareibesamim/hareibesamim__nikud_meteg_files.zip,https://files.dicta.org.il/hareibesamim/hareibesamim__ocr_data_html_files.zip,hareibesamim_EGT,hareibesamim,Responsa,"Horowitz, Aryeh Leib ben Isaac,",Lvov,,hareibesamim
"השגות הרז""א על בעלי הנפש",1912,רבי זרחיה הלוי מגירונה,ווילנא,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/hassagotrezahbaaleihanefesh/hassagotrezahbaaleihanefesh__text_files.zip,https://files.dicta.org.il/hassagotrezahbaaleihanefesh/hassagotrezahbaaleihanefesh__nikud_meteg_files.zip,https://files.dicta.org.il/hassagotrezahbaaleihanefesh/hassagotrezahbaaleihanefesh__ocr_data_html_files.zip,hassagotrezahbaaleihanefesh,Hassagot Rezah Ba’alei Ha-Nefesh,Halachah and Minhagim,Zerachiah ben Isaac ha-Levi Gerondi,Vilna,,hassagotrezahbaaleihanefesh
השיב משה חושן משפט,1866,רבי משה טייטלבוים,לעמבערג,"שו""ת",,https://files.dicta.org.il/heshivmoshechoshenmishpat/heshivmoshechoshenmishpat__text_files.zip,https://files.dicta.org.il/heshivmoshechoshenmishpat/heshivmoshechoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/heshivmoshechoshenmishpat/heshivmoshechoshenmishpat__ocr_data_html_files.zip,heshivmoshechoshenmishpat,Heshiv Moshe Choshen Mishpat,Responsa,rabbi moshe teitelbaum,Lemberg,,heshivmoshechoshenmishpat
השיב משה אבן העזר,1866,רבי משה טייטלבוים,לעמבערג,"שו""ת",,https://files.dicta.org.il/heshivmosheevenhaezer/heshivmosheevenhaezer__text_files.zip,https://files.dicta.org.il/heshivmosheevenhaezer/heshivmosheevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/heshivmosheevenhaezer/heshivmosheevenhaezer__ocr_data_html_files.zip,heshivmosheevenhaezer,Heshiv Moshe Even Haezer,Responsa,rabbi moshe teitelbaum,Lemberg,,heshivmosheevenhaezer
